SampleLabel,Date,Location,Trip,Year,Metric,Conc,Units,Notes
FR_B_3.21_PCH_R2,20210818,Frog,3,2021,chlorophylla,0.0044,mg,corrected chl-a & pheo
FR_B_3.21_PCH_R2,20210818,Frog,3,2021,chlorophylla,0,mg_per_cm2,corrected chl-a & pheo
FR_B_3.21_PCH_R3,20210818,Frog,3,2021,chlorophylla,0.0058,mg,NA
FR_B_3.21_PCH_R3,20210818,Frog,3,2021,chlorophylla,1.00E-04,mg_per_cm2,NA
FR_C_3.21_PCH_R1,20210818,Frog,3,2021,chlorophylla,0.0079,mg,NA
FR_C_3.21_PCH_R1,20210818,Frog,3,2021,chlorophylla,1.00E-04,mg_per_cm2,NA
FR_C_3.21_PCH_R2,20210818,Frog,3,2021,chlorophylla,0.0079,mg,NA
FR_C_3.21_PCH_R2,20210818,Frog,3,2021,chlorophylla,1.00E-04,mg_per_cm2,NA
FR_C_3.21_PCH_R3,20210818,Frog,3,2021,chlorophylla,0.005,mg,NA
FR_C_3.21_PCH_R3,20210818,Frog,3,2021,chlorophylla,0,mg_per_cm2,NA
TO_A_3.21_PCH_R1,20210821,Topaz,3,2021,chlorophylla,0.0047,mg,NA
TO_A_3.21_PCH_R1,20210821,Topaz,3,2021,chlorophylla,0,mg_per_cm2,NA
TO_A_3.21_PCH_R2,20210821,Topaz,3,2021,chlorophylla,0.0057,mg,NA
TO_A_3.21_PCH_R2,20210821,Topaz,3,2021,chlorophylla,1.00E-04,mg_per_cm2,NA
TO_A_3.21_PCH_R3,20210821,Topaz,3,2021,chlorophylla,0.0056,mg,NA
TO_A_3.21_PCH_R3,20210821,Topaz,3,2021,chlorophylla,1.00E-04,mg_per_cm2,NA
TO_B_3.21_PCH_R1,20210821,Topaz,3,2021,chlorophylla,0.0033,mg,NA
TO_B_3.21_PCH_R1,20210821,Topaz,3,2021,chlorophylla,0,mg_per_cm2,NA
TO_B_3.21_PCH_R2,20210821,Topaz,3,2021,chlorophylla,0.0032,mg,NA
TO_B_3.21_PCH_R2,20210821,Topaz,3,2021,chlorophylla,0,mg_per_cm2,NA
TO_B_3.21_PCH_R3,20210821,Topaz,3,2021,chlorophylla,0.0035,mg,NA
TO_B_3.21_PCH_R3,20210821,Topaz,3,2021,chlorophylla,0,mg_per_cm2,NA
TO_C_3.21_PCH_R1,20210821,Topaz,3,2021,chlorophylla,0.0059,mg,NA
