SampleLabel,Date,Location,Trip,Year,ConcCu,Units,Sample_Type
FR_B_1.22_SCU_DU,20220626,Frog,1,2022,6.46,ug/g dry wt,Duplicate
FR_C_1.22_SCU_ZZ,20220626,Frog,1,2022,7.63,ug/g dry wt,Standard
PE_A_1.22_SCU_ZZ,20220621,Pear,1,2022,7.89,ug/g dry wt,Standard
PE_A_1.22_SCU_DU,20220621,Pear,1,2022,8.81,ug/g dry wt,Duplicate
PE_B_1.22_SCU_ZZ,20220621,Pear,1,2022,2.72,ug/g dry wt,Standard
PE_C_1.22_SCU_ZZ,20220621,Pear,1,2022,3.09,ug/g dry wt,Standard
TO_A_2.22_SCU_ZZ,20220717,Topaz,2,2022,12.5,ug/g dry wt,Standard
TO_A_2.22_SCU_DU,20220717,Topaz,2,2022,13.6,ug/g dry wt,Duplicate
TO_B_2.22_SCU_ZZ,20220717,Topaz,2,2022,17.1,ug/g dry wt,Standard
PE_A_2.22_SCU_ZZ,20220712,Pear,2,2022,5.09,ug/g dry wt,Standard
PE_B_2.22_SCU_ZZ,20220712,Pear,2,2022,3.87,ug/g dry wt,Standard
PE_B_2.22_SCU_DU,20220712,Pear,2,2022,3.35,ug/g dry wt,Duplicate
PE_C_2.22_SCU_ZZ,20220712,Pear,2,2022,4.85,ug/g dry wt,Standard
FR_A_2.22_SCU_ZZ,20220714,Frog,2,2022,17.3,ug/g dry wt,Standard
FR_A_2.22_SCU_DU,20220714,Frog,2,2022,7.48,ug/g dry wt,Duplicate
FR_B_2.22_SCU_ZZ,20220714,Frog,2,2022,10.6,ug/g dry wt,Standard
FR_C_2.22_SCU_ZZ,20220714,Frog,2,2022,10.1,ug/g dry wt,Standard
HE_A_2.22_SCU_ZZ,20220715,Heather,2,2022,9.13,ug/g dry wt,Standard
HE_B_2.22_SCU_ZZ,20220715,Heather,2,2022,12.9,ug/g dry wt,Standard
HE_C_2.22_SCU_ZZ,20220715,Heather,2,2022,5.53,ug/g dry wt,Standard
HE_C_2.22_SCU_DU,20220715,Heather,2,2022,9.42,ug/g dry wt,Duplicate
EM_A_2.22_SCU_ZZ,20220717,Emerald,2,2022,3.29,ug/g dry wt,Standard
EM_B_2.22_SCU_ZZ,20220717,Emerald,2,2022,4.53,ug/g dry wt,Standard
EM_B_2.22_SCU_DU,20220717,Emerald,2,2022,3.72,ug/g dry wt,Duplicate
EM_C_2.22_SCU_ZZ,20220717,Emerald,2,2022,1.92,ug/g dry wt,Standard
LY_A_2.22_SCU_ZZ,20220713,Lyness,2,2022,8.75,ug/g dry wt,Standard
LY_A_2.22_SCU_DU,20220713,Lyness,2,2022,10.6,ug/g dry wt,Duplicate
LY_B_2.22_SCU_ZZ,20220713,Lyness,2,2022,8.74,ug/g dry wt,Standard
LY_C_2.22_SCU_ZZ,20220713,Lyness,2,2022,13.7,ug/g dry wt,Standard
HE_A_3.22_SCU_ZZ,20220818,Heather,3,2022,15.3,ug/g dry wt,Standard
HE_B_3.22_SCU_ZZ,20220818,Heather,3,2022,4.22,ug/g dry wt,Standard
HE_B_3.22_SCU_DU,20220818,Heather,3,2022,2.42,ug/g dry wt,Duplicate
HE_C_3.22_SCU_ZZ,20220818,Heather,3,2022,1.61,ug/g dry wt,Standard
EM_A_3.22_SCU_ZZ,20220820,Emerald,3,2022,4.09,ug/g dry wt,Standard
EM_B_3.22_SCU_ZZ,20220820,Emerald,3,2022,2.81,ug/g dry wt,Standard
EM_C_3.22_SCU_ZZ,20220820,Emerald,3,2022,2.3,ug/g dry wt,Standard
EM_C_3.22_SCU_DU,20220820,Emerald,3,2022,2.07,ug/g dry wt,Duplicate
PE_A_3.22_SCU_ZZ,20220816,Pear,3,2022,6.38,ug/g dry wt,Standard
PE_B_3.22_SCU_ZZ,20220816,Pear,3,2022,3.1,ug/g dry wt,Standard
PE_B_3.22_SCU_DU,20220816,Pear,3,2022,3.29,ug/g dry wt,Duplicate
PE_C_3.22_SCU_ZZ,20220816,Pear,3,2022,3.4,ug/g dry wt,Standard
LY_A_3.22_SCU_ZZ,20220817,Lyness,3,2022,13.8,ug/g dry wt,Standard
LY_B_3.22_SCU_ZZ,20220817,Lyness,3,2022,10.3,ug/g dry wt,Standard
LY_C_3.22_SCU_ZZ,20220817,Lyness,3,2022,17.9,ug/g dry wt,Standard
LY_C_3.22_SCU_DU,20220817,Lyness,3,2022,11.8,ug/g dry wt,Duplicate
FR_A_3.22_SCU_ZZ,20220819,Frog,3,2022,12.8,ug/g dry wt,Standard
FR_B_3.22_SCU_ZZ,20220819,Frog,3,2022,6.06,ug/g dry wt,Standard
FR_B_3.22_SCU_DU,20220819,Frog,3,2022,5.89,ug/g dry wt,Duplicate
FR_C_3.22_SCU_ZZ,20220819,Frog,3,2022,7.25,ug/g dry wt,Standard
TO_A_3.22_SCU_ZZ,20220819,Topaz,3,2022,11.6,ug/g dry wt,Standard
TO_B_3.22_SCU_ZZ,20220819,Topaz,3,2022,14.9,ug/g dry wt,Standard
TO_B_3.22_SCU_DU,20220819,Topaz,3,2022,11,ug/g dry wt,Duplicate
TO_C_3.22_SCU_ZZ,20220819,Topaz,3,2022,15.9,ug/g dry wt,Standard
HE_A_4.22_SCU_ZZ,20220916,Heather,4,2022,10.4,ug/g dry wt,Standard
HE_B_4.22_SCU_ZZ,20220916,Heather,4,2022,2.84,ug/g dry wt,Standard
HE_C_4.22_SCU_ZZ,20220916,Heather,4,2022,2.44,ug/g dry wt,Standard
EM_A_4.22_SCU_ZZ,20220917,Emerald,4,2022,2.62,ug/g dry wt,Standard
EM_B_4.22_SCU_ZZ,20220917,Emerald,4,2022,2.35,ug/g dry wt,Standard
EM_C_4.22_SCU_ZZ,20220917,Emerald,4,2022,6.39,ug/g dry wt,Standard
PE_A_4.22_SCU_ZZ,20220913,Pear,4,2022,2.8,ug/g dry wt,Standard
PE_B_4.22_SCU_ZZ,20220913,Pear,4,2022,1.48,ug/g dry wt,Standard
PE_C_4.22_SCU_ZZ,20220913,Pear,4,2022,2.32,ug/g dry wt,Standard
LY_A_4.22_SCU_ZZ,20220914,Lyness,4,2022,9.69,ug/g dry wt,Standard
LY_B_4.22_SCU_ZZ,20220914,Lyness,4,2022,9.31,ug/g dry wt,Standard
LY_C_4.22_SCU_ZZ,20220914,Lyness,4,2022,12.9,ug/g dry wt,Standard
FR_A_4.22_SCU_ZZ,20220915,Frog,4,2022,8.16,ug/g dry wt,Standard
FR_B_4.22_SCU_ZZ,20220915,Frog,4,2022,5.07,ug/g dry wt,Standard
FR_C_4.22_SCU_ZZ,20220915,Frog,4,2022,7.51,ug/g dry wt,Standard
TO_A_4.22_SCU_ZZ,20220915,Topaz,4,2022,10.7,ug/g dry wt,Standard
TO_B_4.22_SCU_ZZ,20220915,Topaz,4,2022,11,ug/g dry wt,Standard
TO_C_4.22_SCU_ZZ,20220915,Topaz,4,2022,16.6,ug/g dry wt,Standard
HE_C_4.22_SCU_DU,20220916,Heather,4,2022,2.01,ug/g dry wt,Duplicate
EM_C_4.22_SCU_DU,20220917,Emerald,4,2022,5.13,ug/g dry wt,Duplicate
PE_A_4.22_SCU_DU,20220913,Pear,4,2022,1.48,ug/g dry wt,Duplicate
LY_C_4.22_SCU_DU,20220914,Lyness,4,2022,10.8,ug/g dry wt,Duplicate
FR_C_4.22_SCU_DU,20220915,Frog,4,2022,9.25,ug/g dry wt,Duplicate
