Year,Trip,Date,Time,Location,Depth_m,Placement,NomDepth_m,Metric,Units,Value
2021,1,20210618,13:48:50,Emerald,4.872,mid,5,Temperature,degrees Celsius,11.851
2021,1,20210618,13:48:55,Emerald,4.872,mid,5,Chlorophylla,RFU,0
2021,1,20210618,13:48:55,Emerald,4.872,mid,5,DO,mg/L,9.15
2021,1,20210618,13:48:55,Emerald,4.872,mid,5,Conductivity,uS/cm,5.1
2021,1,20210618,13:48:55,Emerald,4.872,mid,5,Phycocyanin,RFU,0
2021,1,20210618,13:48:55,Emerald,4.872,mid,5,pH,NA,8.49
2021,1,20210618,13:48:55,Emerald,4.872,mid,5,Temperature,degrees Celsius,11.806
2021,1,20210618,13:51:05,Emerald,8.903,bottom,9,Chlorophylla,RFU,0.29
2021,1,20210618,13:51:05,Emerald,8.903,bottom,9,DO,mg/L,9.34
2021,1,20210618,13:51:05,Emerald,8.903,bottom,9,Conductivity,uS/cm,5.1
2021,1,20210618,13:51:05,Emerald,8.903,bottom,9,Phycocyanin,RFU,0
2021,1,20210618,13:51:05,Emerald,8.903,bottom,9,pH,NA,8.81
2021,1,20210618,13:51:05,Emerald,8.903,bottom,9,Temperature,degrees Celsius,8.827
2021,1,20210618,13:51:10,Emerald,8.904,bottom,9,Chlorophylla,RFU,0.34
2021,1,20210618,13:51:10,Emerald,8.904,bottom,9,DO,mg/L,9.34
2021,1,20210618,13:51:10,Emerald,8.904,bottom,9,Conductivity,uS/cm,5.1
2021,1,20210618,13:51:10,Emerald,8.904,bottom,9,Phycocyanin,RFU,0
2021,1,20210618,13:51:10,Emerald,8.904,bottom,9,pH,NA,8.8
2021,1,20210618,13:51:10,Emerald,8.904,bottom,9,Temperature,degrees Celsius,8.827
2021,1,20210618,13:51:15,Emerald,8.908,bottom,9,Chlorophylla,RFU,0.4
2021,1,20210618,13:51:15,Emerald,8.908,bottom,9,DO,mg/L,9.34
2021,1,20210618,13:51:15,Emerald,8.908,bottom,9,Conductivity,uS/cm,5.1
2021,1,20210618,13:51:15,Emerald,8.908,bottom,9,Phycocyanin,RFU,0
2021,1,20210618,13:51:15,Emerald,8.908,bottom,9,pH,NA,8.8
2021,1,20210618,13:51:15,Emerald,8.908,bottom,9,Temperature,degrees Celsius,8.824
2021,1,20210618,13:51:20,Emerald,8.912,bottom,9,Chlorophylla,RFU,0.37
2021,1,20210618,13:51:20,Emerald,8.912,bottom,9,DO,mg/L,9.34
2021,1,20210618,13:51:20,Emerald,8.912,bottom,9,Conductivity,uS/cm,5.1
2021,1,20210618,13:51:20,Emerald,8.912,bottom,9,Phycocyanin,RFU,0
2021,1,20210618,13:51:20,Emerald,8.912,bottom,9,pH,NA,8.8
2021,1,20210618,13:51:20,Emerald,8.912,bottom,9,Temperature,degrees Celsius,8.824
2021,1,20210618,13:51:25,Emerald,8.914,bottom,9,Chlorophylla,RFU,0.35
2021,1,20210618,13:51:25,Emerald,8.914,bottom,9,DO,mg/L,9.33
2021,1,20210618,13:51:25,Emerald,8.914,bottom,9,Conductivity,uS/cm,5.1
2021,1,20210618,13:51:25,Emerald,8.914,bottom,9,Phycocyanin,RFU,0
2021,1,20210618,13:51:25,Emerald,8.914,bottom,9,pH,NA,8.8
2021,1,20210618,13:51:25,Emerald,8.914,bottom,9,Temperature,degrees Celsius,8.825
2021,1,20210618,13:51:30,Emerald,8.917,bottom,9,Chlorophylla,RFU,0.31
2021,1,20210618,13:51:30,Emerald,8.917,bottom,9,DO,mg/L,9.33
2021,1,20210618,13:51:30,Emerald,8.917,bottom,9,Conductivity,uS/cm,5.1
2021,1,20210618,13:51:30,Emerald,8.917,bottom,9,Phycocyanin,RFU,0
2021,1,20210618,13:51:30,Emerald,8.917,bottom,9,pH,NA,8.8
2021,1,20210618,13:51:30,Emerald,8.917,bottom,9,Temperature,degrees Celsius,8.826
2021,1,20210618,13:51:35,Emerald,8.921,bottom,9,Chlorophylla,RFU,0.28
2021,1,20210618,13:51:35,Emerald,8.921,bottom,9,DO,mg/L,9.32
2021,1,20210618,13:51:35,Emerald,8.921,bottom,9,Conductivity,uS/cm,5.1
2021,1,20210618,13:51:35,Emerald,8.921,bottom,9,Phycocyanin,RFU,0
2021,1,20210618,13:51:35,Emerald,8.921,bottom,9,pH,NA,8.8
2021,1,20210618,13:51:35,Emerald,8.921,bottom,9,Temperature,degrees Celsius,8.826
2021,1,20210618,13:51:40,Emerald,8.925,bottom,9,Chlorophylla,RFU,0.27
2021,1,20210618,13:51:40,Emerald,8.925,bottom,9,DO,mg/L,9.32
2021,1,20210618,13:51:40,Emerald,8.925,bottom,9,Conductivity,uS/cm,5.1
2021,1,20210618,13:51:40,Emerald,8.925,bottom,9,Phycocyanin,RFU,0
2021,1,20210618,13:51:40,Emerald,8.925,bottom,9,pH,NA,8.8
2021,1,20210618,13:51:40,Emerald,8.925,bottom,9,Temperature,degrees Celsius,8.824
2021,1,20210618,13:51:45,Emerald,8.928,bottom,9,Chlorophylla,RFU,0.25
2021,1,20210618,13:51:45,Emerald,8.928,bottom,9,DO,mg/L,9.32
2021,1,20210618,13:51:45,Emerald,8.928,bottom,9,Conductivity,uS/cm,5.1
2021,1,20210618,13:51:45,Emerald,8.928,bottom,9,Phycocyanin,RFU,0
2021,1,20210618,13:51:45,Emerald,8.928,bottom,9,pH,NA,8.8
2021,1,20210618,13:51:45,Emerald,8.928,bottom,9,Temperature,degrees Celsius,8.824
2021,1,20210618,13:51:50,Emerald,8.931,bottom,9,Chlorophylla,RFU,0.24
2021,1,20210618,13:51:50,Emerald,8.931,bottom,9,DO,mg/L,9.31
2021,1,20210618,13:51:50,Emerald,8.931,bottom,9,Conductivity,uS/cm,5.1
2021,1,20210618,13:51:50,Emerald,8.931,bottom,9,Phycocyanin,RFU,0
2021,1,20210618,13:51:50,Emerald,8.931,bottom,9,pH,NA,8.8
2021,1,20210618,13:51:50,Emerald,8.931,bottom,9,Temperature,degrees Celsius,8.826
2021,2,20210724,12:39:40,Emerald,-0.006,surface,0,Chlorophylla,RFU,0
2021,2,20210724,12:39:40,Emerald,-0.006,surface,0,DO,mg/L,6.67
2021,2,20210724,12:39:40,Emerald,-0.006,surface,0,Conductivity,uS/cm,5.1
2021,2,20210724,12:39:40,Emerald,-0.006,surface,0,Phycocyanin,RFU,0
2021,2,20210724,12:39:40,Emerald,-0.006,surface,0,pH,NA,7.29
2021,2,20210724,12:39:40,Emerald,-0.006,surface,0,Temperature,degrees Celsius,21.261
2021,2,20210724,12:39:45,Emerald,-0.006,surface,0,Chlorophylla,RFU,0
2021,2,20210724,12:39:45,Emerald,-0.006,surface,0,DO,mg/L,6.68
2021,2,20210724,12:39:45,Emerald,-0.006,surface,0,Conductivity,uS/cm,5.1
2021,2,20210724,12:39:45,Emerald,-0.006,surface,0,Phycocyanin,RFU,0
2021,2,20210724,12:39:45,Emerald,-0.006,surface,0,pH,NA,7.29
2021,2,20210724,12:39:45,Emerald,-0.006,surface,0,Temperature,degrees Celsius,21.258
2021,2,20210724,12:39:50,Emerald,-0.006,surface,0,Chlorophylla,RFU,0
2021,2,20210724,12:39:50,Emerald,-0.006,surface,0,DO,mg/L,6.69
2021,2,20210724,12:39:50,Emerald,-0.006,surface,0,Conductivity,uS/cm,5.1
2021,2,20210724,12:39:50,Emerald,-0.006,surface,0,Phycocyanin,RFU,0
2021,2,20210724,12:39:50,Emerald,-0.006,surface,0,pH,NA,7.27
2021,2,20210724,12:39:50,Emerald,-0.006,surface,0,Temperature,degrees Celsius,21.262
2021,2,20210724,12:39:55,Emerald,-0.006,surface,0,Chlorophylla,RFU,0
2021,2,20210724,12:39:55,Emerald,-0.006,surface,0,DO,mg/L,6.7
2021,2,20210724,12:39:55,Emerald,-0.006,surface,0,Conductivity,uS/cm,5.1
2021,2,20210724,12:39:55,Emerald,-0.006,surface,0,Phycocyanin,RFU,0
2021,2,20210724,12:39:55,Emerald,-0.006,surface,0,pH,NA,7.26
2021,2,20210724,12:39:55,Emerald,-0.006,surface,0,Temperature,degrees Celsius,21.252
2021,2,20210724,12:40:00,Emerald,-0.005,surface,0,Chlorophylla,RFU,0
2021,2,20210724,12:40:00,Emerald,-0.005,surface,0,DO,mg/L,6.71
2021,2,20210724,12:40:00,Emerald,-0.005,surface,0,Conductivity,uS/cm,5.1
2021,2,20210724,12:40:00,Emerald,-0.005,surface,0,Phycocyanin,RFU,0
2021,2,20210724,12:40:00,Emerald,-0.005,surface,0,pH,NA,7.25
2021,2,20210724,12:40:00,Emerald,-0.005,surface,0,Temperature,degrees Celsius,21.248
2021,2,20210724,12:40:05,Emerald,-0.004,surface,0,Chlorophylla,RFU,0
2021,2,20210724,12:40:05,Emerald,-0.004,surface,0,DO,mg/L,6.72
2021,2,20210724,12:40:05,Emerald,-0.004,surface,0,Conductivity,uS/cm,5.1
2021,2,20210724,12:40:05,Emerald,-0.004,surface,0,Phycocyanin,RFU,0
2021,2,20210724,12:40:05,Emerald,-0.004,surface,0,pH,NA,7.23
2021,2,20210724,12:40:05,Emerald,-0.004,surface,0,Temperature,degrees Celsius,21.241
2021,2,20210724,12:40:10,Emerald,-0.003,surface,0,Chlorophylla,RFU,0
2021,2,20210724,12:40:10,Emerald,-0.003,surface,0,DO,mg/L,6.73
2021,2,20210724,12:40:10,Emerald,-0.003,surface,0,Conductivity,uS/cm,5.1
2021,2,20210724,12:40:10,Emerald,-0.003,surface,0,Phycocyanin,RFU,0
2021,2,20210724,12:40:10,Emerald,-0.003,surface,0,pH,NA,7.22
2021,2,20210724,12:40:10,Emerald,-0.003,surface,0,Temperature,degrees Celsius,21.24
2021,2,20210724,12:40:15,Emerald,-0.001,surface,0,Chlorophylla,RFU,0
2021,2,20210724,12:40:15,Emerald,-0.001,surface,0,DO,mg/L,6.74
2021,2,20210724,12:40:15,Emerald,-0.001,surface,0,Conductivity,uS/cm,5.1
2021,2,20210724,12:40:15,Emerald,-0.001,surface,0,Phycocyanin,RFU,0
2021,2,20210724,12:40:15,Emerald,-0.001,surface,0,pH,NA,7.22
2021,2,20210724,12:40:15,Emerald,-0.001,surface,0,Temperature,degrees Celsius,21.243
2021,2,20210724,12:40:20,Emerald,0.001,surface,0,Chlorophylla,RFU,0
2021,2,20210724,12:40:20,Emerald,0.001,surface,0,DO,mg/L,6.74
2021,2,20210724,12:40:20,Emerald,0.001,surface,0,Conductivity,uS/cm,5.1
2021,2,20210724,12:40:20,Emerald,0.001,surface,0,Phycocyanin,RFU,0
2021,2,20210724,12:40:20,Emerald,0.001,surface,0,pH,NA,7.21
2021,2,20210724,12:40:20,Emerald,0.001,surface,0,Temperature,degrees Celsius,21.242
2021,2,20210724,12:40:25,Emerald,0.003,surface,0,Chlorophylla,RFU,0
2021,2,20210724,12:40:25,Emerald,0.003,surface,0,DO,mg/L,6.75
2021,2,20210724,12:40:25,Emerald,0.003,surface,0,Conductivity,uS/cm,5.1
2021,2,20210724,12:40:25,Emerald,0.003,surface,0,Phycocyanin,RFU,0
2021,2,20210724,12:40:25,Emerald,0.003,surface,0,pH,NA,7.21
2021,2,20210724,12:40:25,Emerald,0.003,surface,0,Temperature,degrees Celsius,21.245
2021,2,20210724,12:41:45,Emerald,4.187,mid,5,Chlorophylla,RFU,0
2021,2,20210724,12:41:45,Emerald,4.187,mid,5,DO,mg/L,6.89
2021,2,20210724,12:41:45,Emerald,4.187,mid,5,Conductivity,uS/cm,5.1
2021,2,20210724,12:41:45,Emerald,4.187,mid,5,Phycocyanin,RFU,0
2021,2,20210724,12:41:45,Emerald,4.187,mid,5,pH,NA,7.21
2021,2,20210724,12:41:45,Emerald,4.187,mid,5,Temperature,degrees Celsius,20.747
2021,2,20210724,12:41:50,Emerald,4.188,mid,5,Chlorophylla,RFU,0
2021,2,20210724,12:41:50,Emerald,4.188,mid,5,DO,mg/L,6.88
2021,2,20210724,12:41:50,Emerald,4.188,mid,5,Conductivity,uS/cm,5.1
2021,2,20210724,12:41:50,Emerald,4.188,mid,5,Phycocyanin,RFU,0
2021,2,20210724,12:41:50,Emerald,4.188,mid,5,pH,NA,7.21
2021,2,20210724,12:41:50,Emerald,4.188,mid,5,Temperature,degrees Celsius,20.741
2021,2,20210724,12:41:55,Emerald,4.193,mid,5,Chlorophylla,RFU,0
2021,2,20210724,12:41:55,Emerald,4.193,mid,5,DO,mg/L,6.88
2021,2,20210724,12:41:55,Emerald,4.193,mid,5,Conductivity,uS/cm,5.1
2021,2,20210724,12:41:55,Emerald,4.193,mid,5,Phycocyanin,RFU,0
